Wh-1Etg-1-3;Einfamilienhaus,FassadeGrau,DachRot,MitGarage
Wh-1Etg-1-6;Einfamilienhaus,FassadeRot,DachRot,MitGarage
Wh-1Etg-2-2;Einfamilienhaus,FassadeWeiss,DachBraun,MitGarage
Wh-1Etg-2-3;Einfamilienhaus,FassadeGrau,DachBraun,MitGarage
Wh-1Etg-2-6;Einfamilienhaus,FassadeRot,DachBraun,MitGarage
Wh-1Etg-3-2;Einfamilienhaus,FassadeWeiss,DachBraun,Garten
Wh-1Etg-3-3;Einfamilienhaus,FassadeGrau,DachBraun,Garten
Wh-1Etg-3-6;Einfamilienhaus,FassadeRot,DachBraun,Garten
Wh-1Etg-4-2;Einfamilienhaus,FassadeWeiss,DachBraun
Wh-1Etg-4-3;Einfamilienhaus,FassadeBlau,DachBraun
Wh-1Etg-4-6;Einfamilienhaus,FassadeRot,DachBraun
Wh-1Etg-5-2;Einfamilienhaus,FassadeWeiss,DachRot,MitGarage
Wh-1Etg-5-3;Einfamilienhaus,FassadeGrau,DachRot
Wh-1Etg-5-6;Einfamilienhaus,FassadeRot,DachRot
Wh-1Etg-6-2;Einfamilienhaus,DachRot,MitGarage,FassadeWeiss
Wh-1Etg-6-3;Einfamilienhaus,DachRot,MitGarage,FassadeGrau
Wh-1Etg-6-6;Einfamilienhaus,DachRot,MitGarage,FassadeRot
Wh-1Etg-7-2;Einfamilienhaus,FassadeWeiss,DachBraun,MitGarage
Wh-1Etg-7-3;Einfamilienhaus,DachBraun,FassadeGrau,MitGarage
Wh-1Etg-7-6;Einfamilienhaus,DachBraun,FassadeRot,MitGarage
Wh-1Etg-8-2;Zweifamilienhaus,Doppelhaus,FassadeGrau,DachBraun
Wh-1Etg-8-3;Zweifamilienhaus,Doppelhaus,FassadeGrau,DachBraun
Wh-1Etg-8-6;Zweifamilienhaus,Doppelhaus,FassadeRot,DachBraun
Wh-1Etg-9-2;Zweifamilienhaus,Doppelhaus,FassadeWeiss,DachBraun
Wh-1Etg-9-3;Zweifamilienhaus,Doppelhaus,FassadeBlau,DachBraun
Wh-1Etg-9-6;Zweifamilienhaus,Doppelhaus,FassadeRot,DachBraun
Diemel Viadukt;Brücke,Viadukt
Haueda 01 EG;Empfangsgebäude
Liebenau 01 EG;Empfangsgebäude,FassadeZiegel
Liebenau 02;Industrie,Raiffeisen
Liebenau 03;Mehrfamilienhaus,FassadeFachwerk,DachSchwarz
Liebenau 05;Stellwerk
Liebenau 08;Brücke
Liebenau 09;Industrie,Bauernhof,FassadeZiegel
Liebenau 10;Bahnsteig,Treppe
Liebenau 11;Industrie,Schuppen
Lamerden05;Mehrfamilienhaus,FassadeWeiss,DachBraun
Lamerden 01;Bauernhof,Scheune,Schuppen,FassadeFachwerk,DachBraun
Lamerden 02 Lf;Empfangsgebäude
Lamerden 03;Bahnsteig,Bushaltestelle
Lamerden 06;Industrie
Lamerden 07;Industrie,FassadeZiegel
Bst-Nieder-D-links;Bahnsteig
Bst-Nieder-D-rechts;Bahnsteig
Bst-Nieder;Bahnsteig
Fachwerk-2Etg-1;Mehrfamilienhaus,FassadeFachwerk,DachRot
Fachwerk-2Etg-2;Mehrfamilienhaus,FassadeFachwerk,DachRot
Fachwerk-3Etg-1;Mehrfamilienhaus,FassadeFachwerk,DachRot
Huemme-Kirche;Kirche,Kulisse
Huemme04 Anbauschuppen;Schuppen
Huemme05;Industrie,Feuerwehr
Huemme07;Einfamilienhaus,FassadeWeiss,DachRot
Huemme 01;Stellwerk
Huemme 02;Stellwerk
Huemme 03;Lokschuppen
Huemme 04;Empfangsgebäude
Huemme 06;Industrie
Huemme 09;Bahnsteig
Huemme 10-Wh-1;Mehrfamilienhaus,FassadeWeiss,DachBraun
Huemme 10-Wh-2;Mehrfamilienhaus,FassadeZiegel,DachBraun
Huemme 10-Wh-3;Bauernhof,Scheune,FassadeFachwerk,DachBraun
Huemme 12;Mehrfamilienhaus,FassadeGrau
Huemme 13-FW-1-1-3x;Mehrfamilienhaus,FassadeFachwerk,DachRot,Kulisse
Huemme 13-FW-1-1;Mehrfamilienhaus,FassadeFachwerk,DachRot,Kulisse
Huemme 13-Wh-1-1;Mehrfamilienhaus,FassadeBeige,DachBraun,Kulisse
Huemme 13-Wh-2-1;Mehrfamilienhaus,FassadeBeige,DachRot,Kulisse
Huemme 13-Wh-3-1;Mehrfamilienhaus,FassadeBeige,DachBraun,Kulisse
Huemme 13-Wh-4-1;Mehrfamilienhaus,FassadeBeige,DachRot,Kulisse
Huemme 14-Schuppen;Scheune,Schuppen,Stall,FassadeHolz,DachRot
Huemme 14;Gewerbe,Bauernhof,FassadeWeiss
huemme 08;Industrie,Bauernhof,FassadeZiegel
Bach-Unter-km-319-079;Durchlass
Bachkanal-Eingang;Durchlass
Fachwerk-1Etg-1;Einfamilienhaus,FassadeFachwerk,DachRot
Fachwerk-1Etg-2;Einfamilienhaus,FassadeFachwerk,DachRot
Fachwerk-1Etg-3;Einfamilienhaus,FassadeFachwerk,DachRot
Hofgeismar 01-Bstg-Nieder;Bahnsteig
Hofgeismar 01-Bstg;Bahnsteig,Bahnsteigdach
Hofgeismar 01;Empfangsgebäude,FassadeGrau,DachBraun
Hofgeismar 02;FassadeZiegel,DachGrau
Hofgeismar 03;Güterschuppen,FassadeZiegel
Hofgeismar 04;Stellwerk
Hofgeismar 06 Raiffeisen;Industrie,Raiffeisen
Hofgeismar 07;Industrie
Hofgeismar 13;Industrie,FassadeWeiss,DachRot
Hofgeismar 14-2;Mehrfamilienhaus,Verwaltung,FassadeBeige,DachRot,Walmdach
Hofgeismar 14-3;Mehrfamilienhaus,FassadeBeige,DachBraun
Hofgeismar 14-4;Scheune,Stall,Bauernhof,FassadeZiegel,DachBraun
Hofgeismar 14;Industrie
Hofgeismar 15;Mehrfamilienhaus,FassadeFachwerk,DachSchwarz
Hofgeismar 16-2;Industrie,Güterschuppen
Hofgeismar 16-3;Industrie,Güterschuppen,DachRot
Hofgeismar 16;Industrie,Güterschuppen
Hofgeismar 17;Einfamilienhaus,FassadeZiegel,DachBraun
Hofgeismar 18-Haus-2;Kulisse,FassadeFachwerk,DachRot,Mehrfamilienhaus,Reihenhaus
Hofgeismar 18-Haus-3;Kulisse,Mehrfamilienhaus,Reihenhaus,FassadeFachwerk,DachRot
Hofgeismar 18-Haus-4;Kulisse,Mehrfamilienhaus,Reihenhaus,FassadeFachwerk,DachRot
Sportheim;Sport,Sportplatz,Bungalow
Sportplatz;Sport,Sportplatz
hofgeismar 05;FassadeZiegel,DachBraun
B Hof km 321 454;Bauernhof,FassadeZiegel,DachRot,Solar,Stall,Photovoltaik
Gastank;Tank,Tankanlage,Industrie
Grebenstein08;Industrie
Grebenstein 01;Stellwerk
Grebenstein 02;Stellwerk
Grebenstein 03;Empfangsgebäude,FassadeZiegel,DachBraun
Grebenstein 04;Stützmauer
Grebenstein 05;Bahnsteig
Grebenstein 06;Industrie
Grebenstein 07;Industrie,Silo
Grebenstein 09;Bauernhof,Scheune,Schuppen,FassadeZiegel,FassadeFachwerk,DachGrau
Grebenstein 10-1;Bauernhof,DachRot
Grebenstein 10-2;Mehrfamilienhaus,FassadeWeiss,DachGrau
Grebenstein 10-3;Mehrfamilienhaus,Verwaltung,FassadeWeiss,DachRot,Walmdach
Grebenstein 11;Schrankenposten,FassadeGrau
Grebenstein 13;Industrie,Güterschuppen
Grebenstein 14 Bh 1;Bauernhof,FassadeZiegel,DachBraun
Grebenstein 14 Stall 1;Bauernhof,Scheune,Stall,FassadeZiegel,DachBraun
Grebenstein 14 Stall 2;Bauernhof,FassadeFachwerk,DachBraun,Stall,Scheune
Grebenstein 14 Stall 3;Bauernhof,FassadeFachwerk,DachBraun,Scheune,Stall
Grebenstein 14 Stall 4;Bauernhof,FassadeFachwerk,DachBraun,Scheune,Stall
Grebenstein 14 Wh 1;Bauernhof,Einfamilienhaus,Stadthaus,FassadeGelb,DachRot,MitBalkon
Guelletank;Bauernhof,Kläranlage
Pfeiler;Brücke,Stützmauer
Pfeiler mitAnschl;Brücke,Stützmauer
Silo;Industrie,Bauernhof,Silo
Weiher;Wasser,See
Immenhausen 01;Empfangsgebäude
Immenhausen 04;Industrie,Schornstein
Immenhausen 05;Mehrfamilienhaus,FassadeWeiss,DachBraun
Immenhausen 06;Industrie
Immenhausen 07 Lagerhaus;Bauernhof,Industrie,Scheune,Stall,Kulisse,DachRot
Immenhausen 07 Schuppen;Industrie,Bauernhof,Garage,Kulisse,FassadeZiegel,DachRot
Immenhausen 07 Wohnhaus;Einfamilienhaus,Bungalow,FassadeZiegel,DachRot
Immenhausen 08 Fabrik 100 60;Industrie
Immenhausen 08 Fabrik 1 70 20;Industrie,Halle
Immenhausen 08 Fabrik 2 70 20;Industrie,Halle,Doppelhalle
Immenhausen 08 Fabrik 40 20;Industrie
Immenhausen 08 Fabrik 70 20;Industrie
Immenhausen 09-Waerterhaus km 332 093;Zweifamilienhaus,FassadeWeiss,DachBraun
Klaerbecken 12m;Bauernhof,Industrie,Kläranlage
Klaerbecken 16m;Bauernhof,Industrie,Kläranlage
Klaerbecken 22m;Bauernhof,Kläranlage
Moenchehof 01;Empfangsgebäude,FassadeZiegel
Moenchehof 02;Industrie,Silo
Moenchehof 03;Stellwerk
Moenchehof 04;Stellwerk
Moenchehof 05 Halle 25 20;Industrie
Moenchehof 05 Halle 40 16;Industrie
Moenchehof 05 Halle 45 27;Industrie
Moenchehof 05 Halle 50 25;Industrie
Moenchehof 05 Halle 56 40;Industrie
Moenchehof 05 Halle 60 12;Industrie
Moenchehof 05 Haus 20 15;Industrie
Moenchehof 05 Lager 38 18;Industrie,FassadeZiegel,DachSchwarz
Moenchehof 06 Bh 20 10;Bauernhof,FassadeZiegel,DachRot
Moenchehof 06 Bh 20 16;Bauernhof,FassadeZiegel,DachRot
Moenchehof 06 Bh 30 12 RF;Bauernhof,FassadeZiegel,DachRot
Moenchehof 06 Bh 40 24;Bauernhof,FassadeZiegel,DachRot
Moenchehof 06 Bh 50 18;Bauernhof,FassadeZiegel,DachRot
Moenchehof 06 Buerstenfabrik;Industrie,FassadeZiegel,DachRot,Schornstein
Treppe 3m;Treppe
Bungalow 10 1;Einfamilienhaus,Bungalow,FassadeGrau,DachSchwarz
Bungalow 1 1;Einfamilienhaus,Bungalow,FassadeWeiss,Flachdach
Bungalow 2 1;Einfamilienhaus,Bungalow,FassadeGelb,Flachdach
Obervellmar 01;Empfangsgebäude
Obervellmar 01 Treppe;Treppe
Obervellmar 03;Mehrfamilienhaus,FassadeBraun,DachSchwarz
Obervellmar 04 Lagerhalle 40 20;Industrie,Halle
Obervellmar 04 Lagerhalle 4 teilig;Industrie,Halle,Doppelhalle
Obervellmar 04 Lagerhalle 72 20;Industrie
Obervellmar 05;Einfamilienhaus,Reihenhaus,FassadeGrau,DachSchwarz
Obervellmar 07;Mehrfamilienhaus,Gewerbe,FassadeGrau,DachBraun
Obervellmar 08 1;Einfamilienhaus,FassadeGrau,DachSchwarz
Obervellmar 09;Sport,Sportplatz,Fußball
Obervellmar 10;Durchlass
Sportanlagenhaus;Sport,Sportplatz
Blumenbeet;Garten,Terrain
Fk-Automat;Bahnsteig
Gelaender Ri Kassel;Geländer
Harles 11 Eckenstuecker 1;Mehrfamilienhaus,FassadeWeiss,DachRot
Harles 11 Eckenstuecker 2;Mehrfamilienhaus,FassadeGrau,DachBraun
Harles 11 Erfurter 1;Mehrfamilienhaus,FassadeGrau,DachBraun
Harles 11 Erfurter 2;Mehrfamilienhaus,Hochhaus,FassadeGrau
Harles 11 Garten 1;Schrebergarten
Harles 11 Garten 2;Schrebergarten
Harles 11 Garten 3;Schrebergarten
Harles 11 Garten 4;Schrebergarten
Harles 11 Garten 5;Schrebergarten
Harles 11 Garten 6;Schrebergarten
Harles 11 Gartenhaus 1;Schrebergarten,Schuppen,Gartenlaube
Harles 11 Gartenhaus 2;Schrebergarten,Schuppen,Gartenlaube
Harles 11 Gartenhaus 3;Schrebergarten,Schuppen,Gartenlaube
Harles 11 InderAue 1;Mehrfamilienhaus,Stadthaus,FassadeWeiss,DachBraun
Harles 11 Luebecker 1;Einfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
Harles 11 Rommel 1;Einfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
Harles 11 Rommel 2;Einfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
Harles 11 Rommel 3;Einfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
Harles 11 Rommel 4;Einfamilienhaus,Reihenhaus,FassadeGrau,DachRot
Harles 11 Schenkebier 1;Industrie,FassadeWeiss,Mobilfunk
Harles 11 Schlossaecker 1;Einfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
Harles 11 Versuchsfeld 1;Mehrfamilienhaus,Stadthaus,FassadeGrau,DachBraun
Harles 11 Wiegmann 1;Mehrfamilienhaus,Büro,Industrie,FassadeWeiss,Flachdach
Harles 11 Wiegmann 2;Mehrfamilienhaus,Stadthaus,FassadeWeiss,DachRot
Harles 11 Wiegmann 3;Mehrfamilienhaus,Stadthaus,FassadeWeiss,DachGrau
Harles 11 zum Feldlager 1;Einfamilienhaus,Zweifamilienhaus,FassadeWeiss,DachRot,Walmdach
Harles 11 zum Feldlager 11;Zweifamilienhaus,FassadeRot,DachSchwarz,Walmdach
Harles 11 zum Feldlager 3;Einfamilienhaus,Zweifamilienhaus,FassadeWeiss,DachRot,Walmdach
Harles 11 zum Feldlager 5;Zweifamilienhaus,FassadeGrau,DachGrau,Walmdach
Harles 11 zum Feldlager 7;Zweifamilienhaus,FassadeGelb,DachRot,Walmdach
Harles 11 zum Feldlager 9;Zweifamilienhaus,FassadeGrau,DachRot,FassadeWeiss,Walmdach
Harles 12 Kuliise 1;Einfamilienhaus,Kulisse,FassadeGelb,DachSchwarz
Harles 12 Kuliise 2;Einfamilienhaus,FassadeGelb,DachSchwarz,Kulisse
Harles 13 Bruch 1 beige;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachBraun
Harles 13 Bruch 1 braun;Mehrfamilienhaus,FassadeBraun,DachBraun
Harles 13 Bruch 1 dg;Mehrfamilienhaus,FassadeGrau,DachSchwarz,Reihenhaus,Stadthaus
Harles 13 Bruch 1 dg Gf;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachGrau
Harles 13 Bruch 1 dg Gs;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachGrau
Harles 13 Bruch 1 hg;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachBraun
Harles 13 Bruch 2 dg;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachBraun
Harles 13 Bruch 2 hg;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachBraun
Harleshausen 02 Posten 340;Schrankenposten
Harleshausen 03;Bauernhof,Einfamilienhaus,FassadeZiegel,DachBraun
Harleshausen 04;Empfangsgebäude
Harleshausen 05;Brücke
Harleshausen 06 Bogenelement;Brücke,Stützmauer
Harleshausen 07 1;Industrie
Harleshausen 07 2;Industrie,Halle
Harleshausen 08;Durchlass
Harleshausen 09 links;Brücke,Stützmauer
Harleshausen 09 rechts;Brücke,Stützmauer
Harleshausen 10;Durchlass
Harleshausen 10 2;Durchlass
Traeger;Brücke
Treppe;Treppe
52 4544 statisch;Dampflok,Denkmallok
Ka BDrei 01 Kbd;Stellwerk
Ka BDrei 02;Lokschuppen
Ka BDrei 02 Schorn;Schornstein
Ka BDrei 03 Geb 1;Büro,Verwaltung,Mehrfamilienhaus,FassadeBraun,DachBraun
Ka BDrei 03 Geb 2;Industrie,FassadeZiegel
Ka BDrei 03 Geb 3;Industrie,FassadeZiegel
Ka BDrei 04;Büro,Verwaltung,Industrie
Ka BDrei 05;Tank,Tankanlage,Silo
Ka BDrei 08;Lokschuppen,Büro,FassadeZiegel
Ka BDrei Dalwigk 1;Mehrfamilienhaus,FassadeWeiss,DachRot,Reihenhaus,Stadthaus
Ka BDrei Dalwigk 1EL;Mehrfamilienhaus,Stadthaus,DachRot,Reihenhaus,FassadeWeiss
Ka BDrei Dalwigk 1ER;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachRot,FassadeWeiss
Ka BDrei Dalwigk 1Mitte;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,FassadeWeiss,DachRot
Ka BDrei Dalwigk 1 gelb;Mehrfamilienhaus,DachRot,Reihenhaus,FassadeOrange,Stadthaus
Ka BDrei Zentgraf 1L;Mehrfamilienhaus,Stadthaus,FassadeBeige,DachRot
Ka BDrei Zentgraf 1M;Mehrfamilienhaus,Stadthaus,FassadeGrau,DachRot
Ka BDrei Zentgraf 1R;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachRot
Ka BDrei Zentgraf 1 Bl2;Mehrfamilienhaus,Stadthaus,FassadeGrau,DachRot
Ka BDrei Zentgraf 1 Bl3;Mehrfamilienhaus,Stadthaus,DachRot,FassadeGrau,FassadeBeige
Ka B Drei Block12;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachBraun
Ka B Drei Block34;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachRot
Ka B Drei Wh1;Mehrfamilienhaus,FassadeGelb,DachBraun,Stadthaus,Reihenhaus,FassadeWeiss
Ka B Drei Wh2;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeWeiss,DachBraun
Ka B Drei Wh3;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachRot
Ka B Drei Wh4;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachRot
Kassel Hbf 05;Stellwerk,Behelfsstellwerk
Mast Fundament;Brücke
Pallisade;Stützmauer
Stuetze;Brücke
Stuetze schmal;Brücke
Traeger;Brücke
Bahnsteig Gl 12 13;Bahnsteig,Bahnsteigdach
Bahnsteig Gl 1 3 760cm;Bahnsteig,Bahnsteigdach
Bahnsteig Gl 4 5 870cm;Bahnsteig,Bahnsteigdach
Bahnsteig Gl 6 7 8m;Bahnsteig,Bahnsteigdach
Bahnsteig Gl 9 10 580cm;Bahnsteig,Bahnsteigdach
Bahnsteig Traeger 580cm;Bahnsteig,Bahnsteigdach
Bahnsteig Traeger 760cm;
Bahnsteig Traeger 870cm;Bahnsteig,Bahnsteigdach
Bahnsteig Traeger 8m;Bahnsteig,Bahnsteigdach
Bahnsteig Traeger Gl 12 13;Bahnsteig,Bahnsteigdach
Dach 580cm Abschlussblende;Bahnsteig,Bahnsteigdach
Dach 760cm Abschlussblende;Bahnsteig,Bahnsteigdach
Dach 870cm Abschlussblende;Bahnsteig,Bahnsteigdach
Dach 8m Abschlussblende;Bahnsteig,Bahnsteigdach
Dach Gl 12 13 Abschlussblende;Bahnsteig,Bahnsteigdach
Du-H7-2;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeGrau,DachBraun
Du-H7-3;Stadthaus,Reihenhaus,Mehrfamilienhaus,MitBalkon,FassadeZiegel,DachBraun
Du-H7-4;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeBeige,DachBraun
Du-H7-5;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeBeige,DachBraun
Du-H7-Gara;Garage
Du-Hbf-H1;Einfamilienhaus,FassadeZiegel,DachBraun
Du-Hbf-H2;Einfamilienhaus,FassadeGelb,DachBraun
Edes01 Breitpfeiler;Brücke,Pfeiler
Du-Hbf-H5;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeZiegel,DachBraun
Du-Hbf-H6L;Stadthaus,Mehrfamilienhaus,FassadeGrau
Du-Hbf-H6M;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachBraun
Du-Hbf-H6R;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeGrau,DachBraun
Gelaender;Geländer
Kal Hbf 11 NG 45 ges;Empfangsgebäude
Kassel 14 Bstg Nieder bs;Bahnsteig
Kassel 14 Bstg Nieder ls;Bahnsteig
Kassel 14 Bstg Nieder rs;Bahnsteig
Kassel Gbf 01 Stw Kgf;Stellwerk
Kassel Gbf 02;Güterabfertigung,Industrie,Spedition
Kassel Gbf 03;Mehrfamilienhaus,Büro,Verwaltung,FassadeZiegel,DachBraun
Kassel Gbf 04;Industrie
Kassel Hbf 01;Stellwerk
Kassel Hbf 02;Industrie,FassadeZiegel
Kassel Hbf 03;Hochhaus,Büro,Verwaltung
Kassel Hbf 04;Bahnsteig
Kassel Hbf 06;Lokschuppen,Industrie
Kassel Hbf 07;Hochhaus,Büro,Verwaltung
AC Boxgraben136-140;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeWeiss,DachBraun,DachGrau,DachSchwarz
Edes01 Schmalpfeiler;Brücke,Pfeiler
Kassel Hbf 08;Hochhaus,Büro,Verwaltung,Gewerbe
Kassel Hbf 09;Güterabfertigung,Industrie
Kassel Hbf 10-2;Einfamilienhaus,FassadeGrau,DachBraun
Kassel Hbf 10;Hochhaus,Büro,Verwaltung
Kassel Hbf 11 EG;Empfangsgebäude
Kassel Hbf 11 NG 2;Hochhaus,Büro,Verwaltung
Kassel Hbf 11 NG 2 1;Büro,Verwaltung,Hochhaus
Kassel Hbf 11 NG 3;Büro,Verwaltung,Hochhaus,Flachdach
Kassel Hbf 15;Güterabfertigung,Industrie
Kassel Hbf 15 2;Industrie
Kassel Hbf 16 DKV;Büro,Verwaltung,Hochhaus
Kassel Hbf 16 Ottostr 1;Büro,Verwaltung,Mehrfamilienhaus,FassadeGrau,Hochhaus
Zugdeckungssignal KsselHbf;Signal
Bruchsteinmauer;Stützmauer
Bstg Unterstand 80er;Bahnsteig,Bushaltestelle
Scher 12 PP;Parkplatz
Scherfede 01;Empfangsgebäude
Scherfede 02;Stellwerk
Scherfede 03;Stellwerk
Scherfede 04;Silo
Scherfede 04 Silos;Industrie,Silo
Scherfede 05;Güterschuppen,Industrie,FassadeFachwerk,DachGrau
Scherfede 06;Schrankenposten,Einfamilienhaus,FassadeBraun,DachBraun
Scherfede 07;Industrie,Bahnmeisterei
Scherfede 08;Industrie
Scherfede 10;Schrankenposten,Einfamilienhaus,FassadeGrau,DachBraun
Scherfede 11;Scheune,Stall,Bauernhof,Industrie
Scherfede 12 Fabrik-1;Industrie,DachRot
Scherfede 12 Fabrik-2;Industrie,Dreifachhalle
Scherfede 12 Fabrik-3;Industrie
Scherfede 12 Fabrik-4;Industrie
Scherfede 12 Fabrik-5;Industrie
Scherfede 12 Fabrik-6;Industrie
Scherfede 12 Lager 1;Industrie,Werkstatt,FassadeGrau,DachGrau
Scherfede 12 Lager 2;Industrie,Werkstatt,FassadeGrau,DachRot
Scherfede 12 Lager 3;Industrie,Werkstatt,FassadeBlau,DachGrau
Scherfede 13;Industrie
Scherfede 13 Lager;Industrie
Scherfede 13 Verwalt;Industrie
Scherfede 14;Mehrfamilienhaus,FassadeBeige,DachRot
Scherfede 15;Bauernhof,FassadeZiegel,DachSchwarz
Scherfede 16 Bh;Bauernhof,FassadeZiegel,DachSchwarz
Scherfede 16 St;Bauernhof,Scheune,Stall,FassadeZiegel,DachSchwarz
Scherfede 16 St RW;Bauernhof,FassadeZiegel,DachRot
Scherfede 17 Posten281;Schrankenposten
Scherfede 17 Posten282;Schrankenposten
Wrexen 01;Güterabfertigung,Industrie,Spedition
Wrexen 02;Güterschuppen,Industrie,Spedition
Wrexen 03;Empfangsgebäude
Wrexen 04;Schrankenposten
Wrexen 05;Schrankenposten,Bauernhof,FassadeFachwerk,DachRot
Wrexen 06;Bauernhof,Scheune,Schuppen,FassadeHolz,DachBraun
Wrexen 07;Industrie
Wrexen 07 2;Industrie
Wrexen 08;Industrie,DachRot
Wrexen 09;Kirche
E Garage;Garage
Westheim 01;Empfangsgebäude
Westheim 02;Stellwerk
Westheim 03;Schrankenposten
Westheim 04;Schrankenposten
Westheim 05;Schrankenposten
Westheim 06;Schrankenposten
Westheim 07;Schloss,Mehrfamilienhaus,FassadeGrau,DachGrau
Westheim 08;Kirche
Westheim 09;Bauernhof,FassadeZiegel,DachRot
Westheim 09 Klaer;Bauernhof,Industrie,Kläranlage
Westheim 09 Klaer 50 20m;Industrie,Kläranlage
Westheim 10;Einfamilienhaus,FassadeBeige,DachBraun
Westheim 10 2;Zweifamilienhaus,FassadeBeige,DachBraun
Westheim 11;Wasser,Stauwehr
Westheim 12 1;Mehrfamilienhaus,FassadeWeiss,DachRot,Walmdach
Westheim 12 10;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 11;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 2;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 3;Mehrfamilienhaus,FassadeGelb,DachRot
Westheim 12 4;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 5;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 5 braun;Mehrfamilienhaus,FassadeWeiss,DachBraun
Westheim 12 6;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 7;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 8;Einfamilienhaus,FassadeWeiss,DachRot,Bungalow
Westheim 12 9;Mehrfamilienhaus,FassadeWeiss,DachRot
Westheim 12 Wiegers;Tankstelle
Westheim 13 Tankstelle;Tankstelle
Haltelinie;Bahnübergang
Haltelinie 1050cm Bue;Bahnübergang
Mars04 b WHaus;Mehrfamilienhaus,FassadeBeige,FassadeZiegel,DachRot
Mars10 Schalthaus;Schalthaus
Mars10 WH km 269 574;Einfamilienhaus,FassadeGrau,DachBraun,FassadeWeiss
Mars10 WH km 270 548;Einfamilienhaus,FassadeGrau,FassadeHolz,DachBraun
Mars10 WH km 270 648;Zweifamilienhaus,FassadeGrau,DachBraun
Mars13 WHaus a;Einfamilienhaus,FassadeFachwerk,DachRot
Mars13 WHaus b;Einfamilienhaus,FassadeWeiss,DachBraun,MitGarage
Mars13 WHaus b2;Einfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Mars13 WHaus b3;Mehrfamilienhaus,FassadeWeiss,DachBraun
Mars13 WHaus b4;Zweifamilienhaus,Reihenhaus,FassadeBeige,DachBraun
Mars13 WHaus c;Bauernhof,Einfamilienhaus,FassadeWeiss,DachBraun
Mars13 WHaus c1;Bauernhof,Einfamilienhaus,FassadeWeiss,DachBraun
Mars13 WHaus d;Einfamilienhaus,FassadeWeiss,DachSchwarz
Mars13 WHaus e;Einfamilienhaus,FassadeWeiss,DachRot
Marsberg01 EG;Empfangsgebäude
Marsberg02 Stw Mf;Stellwerk
Marsberg03 Stw Mo;Stellwerk
Marsberg04 P267;Schrankenposten
Marsberg05 BK;Schrankenposten,Blockstelle
Marsberg06 GSchaft;Güterabfertigung,Güterschuppen
Marsberg06 LHalle;Schuppen,Industrie
Marsberg07 GSchuppen;Güterabfertigung,Güterschuppen,Industrie
Marsberg08 WHaus a;Einfamilienhaus,FassadeBraun,DachSchwarz
Marsberg08 WHaus b;Einfamilienhaus,Schrankenposten,FassadeBraun,DachBraun,FassadeBeige
Marsberg14;Brücke,Viadukt
Marsberg15 a;Industrie
Marsberg15 b;Industrie,Halle
Marsberg15 c;Industrie
Marsberg15 d;Industrie
Marsberg15 d Schu;Garage,Schuppen,Industrie
Marsberg15 e;Industrie
Marsberg15 f1;Industrie
Marsberg15 f2;Industrie,Büro
Marsberg15 f3;Industrie
Marsberg16 GC;Industrie,Gartencenter
Marsberg16 GC Schild;Schild
Marsberg16 a;Einfamilienhaus,FassadeWeiss,DachBraun
Marsberg16 b;Zweifamilienhaus,FassadeWeiss,DachBraun
Marsberg16 c;Mehrfamilienhaus,FassadeGrau,DachBraun
